recipe_name,time_preparation(min),calories(kcal),ingredients_list,gluten_free,egg_free,sucrose_fructose_free,low_sodium,lactose_free,recipe_url,recipe_image_url
Pasta con acelgas y avellanas,35.0,,"['pasta corta', 'queso blanco', 'acelgas tiernas', 'uvas pasas de corinto', 'avellanas picadas', 'aceite de oliva', 'pimienta negra', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/pasta-acelgas-y-avellanas_1506.html,https://content-recetas.lecturas.com/medio/2018/07/19/pasta-con-acelgas-y-avellanas_93c021c8_800x800.jpg
Tallarines al pesto rojo,30.0,,"['tallarines', 'jamón serrano', 'cebolla', 'diente de ajo', 'tomates secos', 'ñoras de su carne', 'piñones pelados', 'albahaca unas hojas', 'queso parmesano', 'pimienta negra', 'aceite de oliva', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/tallarines-pesto-rojo_1526.html,https://content-recetas.lecturas.com/medio/2018/07/19/paso-a-paso-para-realizar-tallarines-al-pesto-rojo-resultado-final_0c484bb0_800x800.jpg
Macarrones picantes con gambas,30.0,340.0,"['macarrones estriados', 'colas de gamba', 'chile rojo', 'dientes de ajo', 'limas', 'aceite de oliva', 'albahaca', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/macarrones-picantes-gambas_1537.html,https://content-recetas.lecturas.com/medio/2018/07/19/macarrones-picantes-con-gambas_c9cbb9b8_800x800.jpg
Macarrones con setas y pimientos,50.0,,"['macarrones', 'pimiento rojo', 'pimiento verde', 'cebolla', 'dientes de ajo', 'perejil', 'setas', 'tomates', 'sal', 'pimienta negra', 'queso rallado', 'aceite de oliva']",0,0,0,0,0,https://www.lecturas.com/recetas/macarrones-setas-y-pimientos_1539.html,https://content-recetas.lecturas.com/medio/2018/07/19/macarrones-con-setas-y-pimientos_159afeaf_800x800.jpg
Tallarines con habas y morcilla,25.0,,"['tallarines', 'habas', 'cebolla', 'morcilla', 'tomillo', 'vino blanco', 'queso manchego rallado', 'aceite de oliva', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/tallarines-habas-y-morcilla_1561.html,https://content-recetas.lecturas.com/medio/2018/07/19/tallarines-con-habas-y-morcilla_ae312d83_800x800.jpg
Tallarines con alcachofas,35.0,,"['tallarines', 'alcachofas', 'limón', 'perejil', 'jamón serrano', 'pimienta', 'dientes de ajo', 'queso parmesano', 'vino blanco', 'caldo de verduras', 'aceite de oliva', 'sal']",0,0,0,0,1,https://www.lecturas.com/recetas/tallarines-alcachofas_1663.html,https://content-recetas.lecturas.com/medio/2018/07/19/tallarines-con-alcachofas_fd0d777b_800x800.jpg
Pasta mediterránea,20.0,,"['espirales de pasta', 'aceitunas verdes deshuesadas', 'zanahoria', 'maíz cocido', 'tomates cereza', 'queso cheddar', 'beicon', 'pimienta', 'aceite de oliva', 'orégano', 'vinagre balsámico', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/pasta-mediterranea_1664.html,https://content-recetas.lecturas.com/medio/2018/07/19/pasta-mediterranea_6963e508_800x800.jpg
Cintas con revuelto de calabacín,25.0,,"['cintas de pasta', 'calabacín', 'huevo', 'nata líquida', 'diente de ajo', 'queso de cabra', 'tomate seco', 'orégano', 'aceite de oliva', 'pimienta', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/cintas-revuelto-calabacin_1667.html,https://content-recetas.lecturas.com/medio/2018/07/19/cintas-con-revuelto-de-calabacin_4cd916de_800x800.jpg
Macarrones al pesto con gambas,35.0,,"['macarrones', 'nueces', 'gambas', 'diente de ajo', 'brócoli', 'albahaca', 'queso parmesano', 'vermut blanco', 'aceite de oliva', 'pimienta', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/macarrones-pesto-gambas_1668.html,https://content-recetas.lecturas.com/medio/2018/07/19/macarrones-al-pesto-con-gambas_c53ee672_800x800.jpg
Macarrones con queso,35.0,,"['macarrones', 'queso parmesano rallado', 'leche', 'queso cheddar rallado', 'mostaza', 'pimienta', 'harina de maíz', 'sal', 'mantequilla']",0,0,0,0,0,https://www.lecturas.com/recetas/macarrones-queso_1756.html,https://content-recetas.lecturas.com/medio/2018/07/19/macarrones-con-queso_8c581b8d_800x800.jpg
Ñoquis a la florentina,30.0,,"['ñoquis de patata', 'espinacas', 'tomates', 'diente de ajo', 'guindillas', 'queso manchego rallado', 'aceite de oliva', 'pimienta', 'sal']",0,0,0,0,0,https://www.lecturas.com/recetas/noquis-a-florentina_1757.html,https://content-recetas.lecturas.com/medio/2018/07/19/noquis-a-la-florentina_4b78efca_800x800.jpg
Lasaña de pescadilla y gambas,55.0,,"['placas', 'lomos de merluza', 'aceite de oliva', 'gambas peladas', 'leche', 'diente de ajo', 'cebolla', 'mantequilla', 'sal', 'salsa de tomate', 'queso parmesano', 'harina', 'pimienta', 'perejil']",0,0,0,0,0,https://www.lecturas.com/recetas/lasana-pescadilla-y-gambas_1759.html,https://content-recetas.lecturas.com/medio/2018/07/19/lasana-de-pescadilla-y-gambas_b471efca_800x800.jpg
